service_id,date,exception_type
10824,20121225,2
10824,20130101,2
10794,20130112,2
10794,20130119,2
10836,20121225,1
10836,20130101,1
10836,20121101,1
10836,20121111,2
10836,20121104,2
10842,20130107,1
10842,20130108,1
10842,20130109,1
10842,20130110,1
10842,20130111,1
10842,20130128,1
10842,20130129,1
10842,20130130,1
10842,20130131,1
10842,20130201,1
10842,20130204,1
10842,20130205,1
10842,20130206,1
10842,20130207,1
10842,20130208,1
10838,20121101,1
10838,20121110,2
10838,20121103,2
10841,20121110,2
10841,20121101,2
10841,20121103,2
10839,20121225,1
10839,20130101,1
10839,20121101,1
10839,20121110,2
10839,20121111,2
10839,20121103,2
10839,20121104,2
10833,20121101,2
10833,20121225,2
10833,20130101,2
10833,20121124,2
10833,20121201,2
10833,20121208,2
10832,20121101,1
10834,20121101,2
10834,20121201,2
10834,20121120,2
10834,20121121,2
10834,20121122,2
10834,20121123,2
10834,20121124,2
10199,20121101,1
10829,20121126,1
10829,20121127,1
10829,20121128,1
10829,20121129,1
10829,20121130,1
10829,20121203,1
10829,20121204,1
10829,20121205,1
10829,20121206,1
10829,20121207,1
10829,20121101,2
10831,20121225,1
10831,20130101,1
10785,20121225,1
10785,20130101,1
10830,20121101,1
10816,20121101,1
10816,20121111,2
10816,20121104,2
10696,20121209,1
10322,20130127,1
10322,20130203,1
10848,20130112,1
10848,20130113,1
10848,20130119,1
10848,20130120,1
10848,20130126,1
10848,20130127,1
10848,20130202,1
10848,20130203,1
10797,20121110,2
10797,20121101,2
10797,20121103,2
10797,20121225,2
10797,20130101,2
10851,20121203,2
10851,20121204,2
10851,20121205,2
10851,20121206,2
10851,20121207,2
10781,20121124,2
10781,20121201,2
10781,20121208,2
10819,20121124,2
10819,20121201,2
10819,20121208,2
10846,20121101,2
10846,20121119,2
10846,20121120,2
10846,20121121,2
10846,20121122,2
10845,20121101,2
10722,20121225,2
10722,20130101,2
10844,20121119,2
10844,20121120,2
10844,20121121,2
10844,20121122,2
10852,20121225,1
10852,20130101,1
10814,20121110,2
10814,20121101,2
10814,20121103,2
10814,20121225,2
10814,20130101,2
10813,20121103,2
10813,20121104,2
10813,20121110,2
10813,20121111,2
10815,20121101,2
10815,20121225,2
10815,20130101,2
10804,20121101,2
10804,20121117,2
10810,20130128,2
10810,20130129,2
10810,20130130,2
10810,20130131,2
10810,20130201,2
10810,20130112,2
10810,20130113,2
10810,20130119,2
10810,20130120,2
10809,20121119,2
10809,20121120,2
10809,20121121,2
10809,20121122,2
10809,20121112,2
10809,20121113,2
10809,20121114,2
10809,20121115,2
10809,20121116,2
10809,20121105,2
10809,20121106,2
10809,20121107,2
10809,20121108,2
10809,20121109,2
10809,20121110,2
10809,20121102,2
10809,20121103,2
10812,20121111,2
10812,20121101,2
10812,20121104,2
10811,20121225,2
10811,20130101,2
10807,20130126,1
10807,20130127,1
10807,20130202,1
10808,20130203,1
10790,20121225,1
10790,20130101,1
10790,20121101,1
10790,20121125,2
10790,20121202,2
10790,20121209,2
10817,20121101,2
10786,20121126,1
10786,20121127,1
10786,20121128,1
10786,20121129,1
10786,20121130,1
10786,20121203,1
10786,20121204,1
10786,20121205,1
10786,20121206,1
10786,20121207,1
10786,20121210,1
10786,20121211,1
10786,20121212,1
10786,20121213,1
10786,20121214,1
10786,20121217,1
10786,20121218,1
10786,20121219,1
10786,20121220,1
10786,20121221,1
10786,20121224,1
10786,20121225,1
10786,20121226,1
10786,20121227,1
10786,20121228,1
10786,20121231,1
10786,20130101,1
10786,20130102,1
10786,20130103,1
10786,20130104,1
10786,20130107,1
10786,20130108,1
10786,20130109,1
10786,20130110,1
10786,20130111,1
10786,20130114,1
10786,20130115,1
10786,20130116,1
10786,20130117,1
10786,20130118,1
10786,20130121,1
10786,20130122,1
10786,20130123,1
10786,20130124,1
10786,20130125,1
10786,20130128,1
10786,20130129,1
10786,20130130,1
10786,20130131,1
10786,20130201,1
10786,20130204,1
10786,20130205,1
10786,20130206,1
10786,20130207,1
10786,20130208,1
10786,20121101,2
10786,20121119,2
10786,20121121,2
10786,20121122,2
10786,20121225,2
10786,20130101,2
10789,20121119,2
10789,20121120,2
10789,20121121,2
10789,20121122,2
10789,20121123,2
10788,20121224,1
10788,20121226,1
10788,20121227,1
10788,20121228,1
10788,20121231,1
10788,20130102,1
10788,20130103,1
10788,20130104,1
10788,20121119,2
10788,20121121,2
10788,20121122,2
10788,20121123,2
10787,20121119,2
10787,20121120,2
10787,20121121,2
10787,20121122,2
10787,20121126,2
10787,20121127,2
10787,20121128,2
10787,20121129,2
10787,20121130,2
10795,20121101,1
10795,20121110,2
10795,20121111,2
10795,20121103,2
10795,20121104,2
10792,20121101,2
10792,20121225,2
10792,20130101,2
10779,20130112,2
10779,20130119,2
10784,20121209,2
10801,20130107,1
10801,20130108,1
10801,20130109,1
10801,20130110,1
10801,20130111,1
10801,20130112,1
10801,20130114,1
10801,20130115,1
10801,20130116,1
10801,20130117,1
10801,20130118,1
10801,20130119,1
10801,20130121,1
10801,20130122,1
10801,20130123,1
