service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10775,1,1,1,1,0,0,0,20130121,20130131
10776,0,0,0,0,0,1,0,20121117,20121201
10777,0,0,0,0,0,0,1,20121118,20121202
10778,1,0,0,0,0,0,0,20121119,20121203
10774,1,1,1,1,1,0,0,20130121,20130201
10230,0,0,0,0,0,1,0,20121016,20130208
10384,1,1,0,0,0,0,0,20121029,20121030
10385,1,0,0,0,0,0,0,20121126,20121126
10202,0,0,0,0,0,1,0,20121016,20130208
10352,0,1,1,1,1,0,0,20121120,20121123
10382,1,1,1,1,0,0,0,20121029,20121105
10379,1,1,1,0,0,0,1,20121029,20121104
10263,0,1,1,1,1,0,0,20121106,20121109
10233,0,0,0,0,1,0,0,20121016,20130208
10231,1,1,1,1,0,0,0,20121112,20121115
10264,0,0,0,0,0,1,0,20121016,20130208
10232,1,1,1,1,0,0,0,20121119,20121122
10376,1,1,1,0,0,0,0,20121029,20121108
10380,0,0,0,1,1,0,0,20121101,20121102
10297,0,0,0,0,0,0,1,20121016,20130208
10296,1,0,0,0,0,0,0,20121119,20121119
10381,1,1,1,1,1,0,1,20121029,20121104
10245,1,1,1,1,0,0,0,20121203,20121206
10364,0,0,0,0,0,1,1,20121124,20121202
10223,0,0,0,0,1,0,0,20121016,20130208
10350,1,0,0,0,0,0,0,20121105,20121105
10299,0,1,1,1,1,0,0,20121113,20121116
10304,0,0,0,0,1,1,0,20121102,20121103
10389,0,0,0,0,0,1,0,20121016,20130208
10387,0,0,0,0,0,1,1,20121103,20121106
10388,1,0,0,0,0,0,1,20121125,20121203
10386,1,1,1,0,0,0,0,20121107,20121107
10247,0,1,1,1,1,0,0,20121204,20121207
10317,0,0,0,0,0,0,0,20121016,20130208
10258,0,0,0,0,0,0,0,20121016,20130208
10378,0,0,0,0,0,0,0,20121016,20130208
10377,0,0,0,0,0,0,0,20121109,20121123
10468,1,1,1,0,0,0,0,20121029,20121031
10401,0,1,1,1,0,0,0,20121030,20121101
10457,0,1,1,1,1,1,0,20121120,20121124
10458,1,0,0,0,0,0,0,20121119,20121126
10459,1,1,1,1,1,0,0,20121119,20121123
10438,0,0,0,0,0,0,0,20121016,20130208
10492,0,0,1,0,0,0,0,20121016,20130208
10504,0,0,0,0,0,0,0,20121016,20130208
8054,0,0,0,0,0,0,1,20121001,20130208
8055,0,0,0,0,0,1,0,20121001,20130208
10184,1,1,1,1,1,0,0,20121210,20130201
10208,1,0,1,1,1,0,0,20121224,20121231
10215,1,1,1,1,0,0,0,20130204,20130207
10182,1,1,1,1,1,0,0,20121210,20130208
10400,1,1,1,1,1,1,1,20121029,20121208
10395,1,1,1,1,1,1,1,20121029,20121208
10393,1,1,1,1,1,1,1,20121029,20121208
10397,0,0,0,0,0,1,0,20121016,20130208
10396,0,0,0,0,0,0,0,20121124,20121208
10399,1,1,1,1,1,1,0,20121103,20121208
10394,1,1,1,0,1,0,0,20121029,20121102
10319,0,0,0,0,0,0,1,20121101,20121202
10390,0,0,0,0,0,1,0,20121215,20130202
10391,0,0,0,0,0,1,0,20121103,20121208
10392,1,1,1,1,1,1,0,20121029,20121208
10407,0,0,0,0,0,1,1,20121101,20121208
10409,1,1,1,1,1,1,0,20121210,20130208
10405,0,0,0,0,0,1,1,20121103,20121125
10406,1,1,1,1,1,1,0,20121029,20121208
10403,0,0,0,0,0,1,0,20121103,20121208
10404,0,0,0,0,0,0,1,20121104,20121125
10402,1,1,1,1,1,1,0,20121029,20121208
10420,1,1,1,1,1,0,1,20121029,20121207
10276,1,1,1,1,1,0,1,20121209,20130208
10419,1,1,1,1,1,1,1,20121029,20130208
10418,0,0,0,0,0,0,0,20121016,20130208
10417,1,1,1,1,1,1,0,20121029,20130208
10415,1,0,1,1,1,1,0,20121224,20121231
10412,1,1,1,1,1,1,1,20121209,20130208
10410,1,1,1,1,1,1,1,20121223,20121231
10411,1,1,1,1,1,1,1,20121029,20121208
10416,0,0,0,0,0,0,1,20121101,20130203
10491,1,1,1,1,0,0,0,20121126,20121206
10490,1,1,1,1,0,0,0,20121126,20121207
10495,1,1,1,1,1,1,1,20121101,20121208
10348,1,1,1,1,1,0,0,20121126,20121130
10488,1,1,1,1,1,1,1,20121105,20121118
10463,1,1,1,1,1,0,0,20121029,20121207
10471,0,0,0,0,0,1,0,20121110,20121208
10430,0,0,0,0,0,1,1,20121124,20121125
10493,0,0,0,0,0,0,0,20121016,20130208
10494,1,1,1,1,1,1,1,20121029,20121208
10483,1,1,1,1,1,1,1,20121029,20121208
10480,0,0,0,0,0,0,1,20121101,20121202
10482,1,1,1,1,1,1,1,20121029,20121208
10478,1,1,1,1,1,1,0,20121029,20121208
10497,1,1,1,1,0,0,0,20121126,20121206
10496,0,1,1,1,0,0,0,20121204,20121206
10287,0,0,0,0,0,0,0,20121016,20130208
10301,0,0,0,0,0,0,0,20121029,20121119
10300,1,1,1,0,0,0,0,20121029,20121031
