stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8711616,"PROVINS",,48.55585667,3.3026751,,,1,
StopArea:DUA8738161,"MENERVILLE",,48.96602171,1.60179387,,,1,
StopArea:DUA8741588,"ROSNY SUR SEINE",,48.99714479,1.63016901,,,1,
StopArea:DUA8739387,"NOISY LE ROI",,48.84173257,2.06177749,,,1,
StopArea:DUA76:350,"GARE DE ST NOM LA BRETECHE FORET DE MARLY",,48.86789653,2.05095166,,,1,
StopArea:DUA8738281,"MAREIL MARLY",,48.88148193,2.07943642,,,1,
StopArea:DUA8736692,"SAINT-GERMAIN EN LAYE BEL AIR FOURQUEUX",,48.89481375,2.07093182,,,1,
StopArea:DUA8738280,"SAINT-GERMAIN EN LAYE GRANDE CEINTURE",,48.90319372,2.07304109,,,1,
StopArea:DUA8738101,"PEREIRE LEVALLOIS",,48.8854319,2.29811315,,,1,
StopArea:DUA8756867,"PLACE LOULOU GASTE",,48.88693755,2.30100401,,,1,
StopArea:DUA76:316,"PORTE D'ASNIERES",,48.89082054,2.30275944,,,1,
StopArea:DUA8756868,"TOCQUEVILLE",,48.88725103,2.30801774,,,1,
StopArea:DUA8756869,"PEREIRE SAUSSURE",,48.88773979,2.30991634,,,1,
StopArea:DUA8738111,"PONT CARDINET",,48.88751595,2.31376691,,,1,
StopArea:DUA8756870,"JOUFFROY TOCQUEVILLE",,48.88582531,2.3090588,,,1,
StopArea:DUA59439,"WAGRAM",,48.8840739,2.30455252,,,1,
StopArea:DUA8798223,"Porte d'Asnières",,48.89019322,2.3027108,,,1,
StopArea:DUA8711610,"MEAUX",,48.95697177,2.87402268,,,1,
StopArea:DUA8711629,"VAIRES TORCY",,48.87526468,2.63907067,,,1,
StopArea:DUA8711649,"TRILPORT",,48.96022594,2.95003743,,,1,
StopArea:DUA8711650,"CHANGIS SAINT-JEAN",,48.95899725,3.02506858,,,1,
StopArea:DUA8711651,"LA FERTE SOUS JOUARRE",,48.9506237,3.12473386,,,1,
StopArea:DUA8711658,"CHATEAU THIERRY",,49.03795301,3.40957548,,,1,
StopArea:DUA8711657,"CHEZY SUR MARNE",,48.99036289,3.36160612,,,1,
StopArea:DUA8711656,"NOGENT L'ARTAUD CHARLY",,48.96692986,3.29875954,,,1,
StopArea:DUA8711655,"NANTEUIL SAACY",,48.97389088,3.2197342,,,1,
StopArea:DUA8711611,"CHELLES GOURNAY",,48.87471046,2.583673,,,1,
StopArea:DUA8711352,"LE CHENAY GAGNY",,48.87644718,2.55256841,,,1,
StopArea:DUA8711351,"GAGNY",,48.88351831,2.52637008,,,1,
StopArea:DUA8711347,"LE RAINCY VILLEMOMBLE MONTFERMEIL",,48.88952806,2.5121936,,,1,
StopArea:DUA8711667,"LA FERTE MILON",,49.17950493,3.12058849,,,1,
StopArea:DUA8711666,"MAREUIL SUR OURCQ",,49.13547358,3.07560277,,,1,
StopArea:DUA8711664,"CROUY SUR OURCQ",,49.09190761,3.06289298,,,1,
StopArea:DUA8711663,"LIZY SUR OURCQ",,49.02191394,3.03173506,,,1,
StopArea:DUA8711661,"ISLES ARMENTIERES CONGIS",,48.99827241,3.00731124,,,1,
StopArea:DUA8711300,"PARIS EST",,48.87596716,2.35828519,,,1,
StopArea:DUA8711601,"GRETZ ARMAINVILLIERS",,48.74566904,2.72872043,,,1,
StopArea:DUA8711621,"TOURNAN",,48.73904947,2.75946616,,,1,
StopArea:DUA8711602,"OZOIR LA FERRIERE",,48.77059974,2.68979872,,,1,
StopArea:DUA8711603,"ROISSY EN BRIE",,48.79496988,2.64989014,,,1,
StopArea:DUA8711604,"EMERAINVILLE PONTAULT COMBAULT",,48.80508191,2.61990808,,,1,
StopArea:DUA8711380,"LES YVRIS NOISY LE GRAND",,48.82338921,2.57985245,,,1,
StopArea:DUA8711379,"VILLIERS SUR MARNE - PLESSIS TREVISE",,48.82345609,2.54274715,,,1,
StopArea:DUA8711377,"LES BOULLEREAUX CHAMPIGNY",,48.82573932,2.5098814,,,1,
StopArea:DUA8711374,"NOGENT LE PERREUX",,48.83884669,2.49390442,,,1,
StopArea:DUA8711371,"VAL DE FONTENAY",,48.85322107,2.48765206,,,1,
StopArea:DUA8711370,"ROSNY SOUS BOIS",,48.87072496,2.48537565,,,1,
StopArea:DUA8711369,"ROSNY BOIS PERRIER",,48.88181607,2.48161398,,,1,
StopArea:DUA8711321,"NOISY LE SEC",,48.89599223,2.46048292,,,1,
StopArea:DUA8711320,"PANTIN",,48.89694798,2.40093769,,,1,
StopArea:DUA8711607,"VERNEUIL L'ETANG",,48.64464828,2.82511182,,,1,
StopArea:DUA8711608,"MORMANT",,48.61346378,2.88929697,,,1,
StopArea:DUA8711609,"NANGIS",,48.56165189,3.01214644,,,1,
StopArea:DUA8711631,"LAGNY THORIGNY",,48.88232727,2.70570634,,,1,
StopArea:DUA8711632,"ESBLY",,48.90333179,2.81090668,,,1,
StopArea:DUA8711622,"MARLES EN BRIE",,48.73433535,2.86830574,,,1,
StopArea:DUA8711624,"MORTCERF",,48.78949679,2.90736587,,,1,
StopArea:DUA8711626,"GUERARD LA CELLE SUR MORIN",,48.81047949,2.95456108,,,1,
StopArea:DUA8711627,"FAREMOUTIERS POMMEUSE",,48.80865445,2.99308804,,,1,
StopArea:DUA8711628,"MOUROUX",,48.81407916,3.04284411,,,1,
StopArea:DUA8727627,"ORRY LA VILLE COYE LA FORET",,49.1553229,2.47563682,,,1,
StopArea:DUA8727628,"LA BORNE BLANCHE",,49.12677729,2.50612219,,,1,
StopArea:DUA8727626,"SURVILLIERS FOSSES",,49.09993453,2.52529179,,,1,
StopArea:DUA8727625,"LOUVRES",,49.04955871,2.50152709,,,1,
StopArea:DUA8727623,"LES NOUES",,49.03279434,2.47761277,,,1,
StopArea:DUA8727624,"GOUSSAINVILLE",,49.02385746,2.46262998,,,1,
StopArea:DUA8727622,"VILLIERS LE BEL GONESSE ARNOUVILLE",,48.9939622,2.41655083,,,1,
StopArea:DUA8727101,"SAINT-DENIS",,48.93572526,2.34534077,,,1,
StopArea:DUA8716478,"STADE DE FRANCE SAINT-DENIS",,48.91787321,2.35194509,,,1,
StopArea:DUA8727103,"PARIS NORD",,48.88007034,2.35607323,,,1,
StopArea:DUA8768200,"MELUN",,48.52724648,2.65473843,,,1,
StopArea:DUA8768217,"LE MEE",,48.54010026,2.62416457,,,1,
StopArea:DUA8768216,"CESSON",,48.56502079,2.59391118,,,1,
StopArea:DUA8768218,"SAVIGNY LE TEMPLE NANDY",,48.595883,2.58451025,,,1,
StopArea:DUA8768215,"LIEUSAINT MOISSY",,48.62851576,2.56907319,,,1,
StopArea:DUA8768214,"COMBS LA VILLE QUINCY",,48.66770942,2.54814298,,,1,
StopArea:DUA8768213,"BOUSSY SAINT-ANTOINE",,48.68099562,2.53303979,,,1,
StopArea:DUA8768212,"BRUNOY",,48.69936025,2.50582991,,,1,
StopArea:DUA8768211,"YERRES",,48.70676476,2.48332479,,,1,
StopArea:DUA8768210,"MONTGERON CROSNE",,48.70796582,2.46241095,,,1,
StopArea:DUA8768182,"VILLENEUVE SAINT-GEORGES",,48.73011782,2.44689177,,,1,
StopArea:DUA8768180,"VILLENEUVE TRIAGE",,48.74243415,2.43968304,,,1,
